gravity,score,death
1.0,1.0,off_bot
4.0,1.0,off_bot
1.0,0.0,tree_top
4.0,0.0,tree_bot
1.0,0.0,tree_top
4.0,0.0,tree_bot
1.0,0.0,off_top
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,0.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
4.0,0.0,off_bot
4.0,0.0,off_bot
4.0,1.0,off_bot
1.0,2.0,tree_top
4.0,0.0,tree_top
1.0,0.0,tree_top
4.0,1.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_bot
1.0,2.0,tree_bot
1.0,2.0,tree_top
4.0,0.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_bot
4.0,0.0,off_bot
4.0,1.0,off_bot
4.0,0.0,off_bot
4.0,1.0,off_bot
4.0,2.0,off_bot
1.0,1.0,tree_top
1.0,1.0,tree_top
4.0,1.0,off_bot
4.0,1.0,off_bot
1.0,1.0,tree_top
4.0,0.0,off_bot
4.0,0.0,tree_bot
4.0,2.0,off_bot
4.0,1.0,tree_top
1.0,3.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_bot
4.0,1.0,tree_bot
4.0,0.0,tree_bot
1.0,1.0,tree_top
4.0,2.0,tree_bot
1.0,3.0,tree_top
1.0,0.0,off_top
1.0,0.0,tree_top
4.0,1.0,tree_bot
1.0,1.0,tree_top
1.0,3.0,tree_top
4.0,6.0,off_bot
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,1.0,off_bot
4.0,3.0,tree_bot
4.0,5.0,tree_bot
1.0,1.0,off_top
4.0,3.0,off_bot
1.0,0.0,off_top
4.0,2.0,off_bot
4.0,3.0,tree_bot
4.0,6.0,tree_bot
4.0,1.0,off_bot
1.0,2.0,tree_top
4.0,10.0,off_bot
1.0,0.0,tree_top
1.0,1.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,5.0,off_bot
4.0,14.0,off_bot
1.0,1.0,tree_top
1.0,2.0,off_top
1.0,1.0,tree_top
1.0,1.0,tree_top
4.0,10.0,tree_bot
1.0,1.0,tree_top
4.0,31.0,off_bot
1.0,0.0,tree_top
4.0,40.0,off_bot
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,18.0,tree_bot
1.0,1.0,tree_top
1.0,1.0,tree_top
4.0,7.0,off_bot
4.0,49.0,tree_bot
4.0,44.0,tree_bot
4.0,60.0,tree_bot
1.0,0.0,tree_top
4.0,27.0,off_bot
4.0,12.0,tree_bot
1.0,4.0,tree_top
1.0,2.0,tree_top
4.0,97.0,off_bot
1.0,1.0,tree_top
