gravity,score,death
4.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_bot
4.0,0.0,off_bot
4.0,0.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,0.0,off_bot
4.0,2.0,off_bot
4.0,0.0,tree_top
4.0,1.0,off_bot
1.0,1.0,off_bot
1.0,0.0,tree_top
4.0,1.0,off_bot
1.0,0.0,tree_top
1.0,2.0,tree_top
4.0,2.0,off_bot
1.0,0.0,off_top
1.0,1.0,tree_top
1.0,2.0,tree_top
4.0,0.0,off_bot
4.0,0.0,tree_bot
4.0,0.0,tree_top
4.0,1.0,tree_bot
4.0,0.0,tree_bot
1.0,1.0,tree_top
4.0,1.0,off_bot
4.0,0.0,tree_top
1.0,1.0,off_top
4.0,0.0,tree_bot
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,2.0,tree_bot
1.0,2.0,tree_top
1.0,1.0,tree_top
1.0,1.0,off_bot
1.0,1.0,tree_top
1.0,0.0,tree_top
1.0,1.0,off_top
1.0,1.0,off_top
1.0,1.0,tree_top
4.0,0.0,tree_bot
1.0,2.0,off_top
4.0,1.0,tree_bot
4.0,1.0,tree_bot
4.0,1.0,tree_top
1.0,0.0,tree_top
4.0,3.0,off_bot
4.0,4.0,off_bot
4.0,0.0,tree_top
4.0,0.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,1.0,off_bot
4.0,145.0,tree_top
1.0,0.0,tree_top
4.0,8.0,off_bot
4.0,34.0,tree_top
4.0,26.0,tree_bot
1.0,1.0,tree_top
4.0,22.0,off_bot
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,109.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,64.0,tree_top
4.0,14.0,tree_top
1.0,2.0,tree_top
1.0,4.0,tree_top
4.0,18.0,tree_top
1.0,1.0,tree_top
4.0,18.0,tree_top
4.0,23.0,tree_top
1.0,0.0,tree_top
4.0,144.0,tree_bot
1.0,0.0,tree_top
4.0,2.0,tree_top
1.0,0.0,tree_top
4.0,38.0,tree_top
4.0,32.0,tree_top
4.0,11.0,tree_top
4.0,52.0,tree_top
4.0,48.0,tree_top
1.0,2.0,tree_top
4.0,10.0,off_bot
1.0,1.0,tree_top
4.0,25.0,tree_top
4.0,82.0,tree_top
4.0,32.0,off_bot
4.0,20.0,tree_top
1.0,2.0,tree_top
1.0,3.0,tree_top
1.0,1.0,tree_top
1.0,2.0,tree_top
4.0,20.0,tree_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
