gravity,score,death
4.0,0.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_bot
4.0,0.0,off_bot
1.0,1.0,tree_bot
4.0,0.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,0.0,tree_bot
4.0,0.0,off_bot
4.0,0.0,tree_top
4.0,0.0,off_bot
4.0,0.0,tree_top
1.0,0.0,tree_top
4.0,1.0,off_bot
4.0,1.0,off_bot
1.0,0.0,tree_top
4.0,1.0,tree_bot
1.0,1.0,off_top
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,3.0,off_bot
4.0,0.0,tree_bot
1.0,1.0,tree_top
4.0,2.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,1.0,tree_bot
4.0,4.0,off_bot
4.0,2.0,tree_bot
4.0,3.0,tree_bot
1.0,0.0,tree_top
4.0,5.0,tree_bot
4.0,3.0,off_bot
4.0,5.0,off_bot
1.0,0.0,tree_top
4.0,1.0,off_bot
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,6.0,off_bot
4.0,36.0,tree_bot
4.0,15.0,off_bot
1.0,1.0,off_top
1.0,0.0,tree_top
4.0,35.0,off_bot
4.0,63.0,off_bot
4.0,32.0,tree_bot
1.0,0.0,tree_top
4.0,206.0,tree_top
4.0,38.0,tree_bot
1.0,0.0,tree_bot
1.0,0.0,tree_top
1.0,2.0,tree_top
1.0,1.0,tree_top
4.0,98.0,tree_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,22.0,tree_bot
4.0,58.0,tree_top
4.0,116.0,tree_top
1.0,0.0,tree_top
4.0,27.0,tree_bot
4.0,5.0,tree_bot
4.0,0.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
1.0,0.0,off_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,22.0,tree_bot
1.0,0.0,tree_top
4.0,37.0,tree_bot
1.0,0.0,tree_top
4.0,14.0,tree_top
4.0,17.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_top
1.0,1.0,tree_top
4.0,33.0,off_bot
4.0,23.0,tree_bot
4.0,20.0,tree_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,60.0,tree_top
4.0,72.0,tree_top
4.0,1.0,tree_bot
4.0,58.0,tree_top
1.0,0.0,tree_top
4.0,27.0,tree_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,12.0,tree_bot
1.0,2.0,off_top
4.0,57.0,tree_top
1.0,0.0,off_top
1.0,1.0,tree_top
4.0,6.0,tree_bot
