gravity,score,death
4.0,0.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_bot
4.0,0.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_bot
4.0,0.0,tree_bot
4.0,0.0,tree_bot
1.0,0.0,tree_top
1.0,1.0,off_top
4.0,0.0,tree_bot
4.0,0.0,tree_bot
4.0,0.0,tree_bot
4.0,0.0,tree_bot
4.0,0.0,tree_bot
4.0,0.0,off_bot
4.0,0.0,tree_bot
4.0,2.0,off_bot
1.0,0.0,tree_bot
4.0,2.0,off_bot
1.0,0.0,tree_top
4.0,0.0,tree_bot
4.0,0.0,off_bot
4.0,1.0,off_bot
4.0,4.0,tree_bot
4.0,0.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,2.0,off_bot
4.0,0.0,tree_top
1.0,1.0,tree_top
4.0,0.0,tree_bot
4.0,1.0,off_bot
4.0,1.0,tree_bot
1.0,1.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,1.0,tree_bot
4.0,2.0,tree_bot
4.0,1.0,off_bot
4.0,1.0,off_bot
1.0,0.0,tree_top
1.0,1.0,off_top
1.0,0.0,tree_top
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,2.0,off_bot
4.0,0.0,tree_bot
4.0,1.0,off_bot
4.0,1.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_bot
4.0,1.0,off_bot
4.0,0.0,tree_top
4.0,4.0,tree_bot
4.0,1.0,tree_bot
1.0,1.0,tree_top
1.0,0.0,tree_bot
1.0,1.0,tree_top
1.0,3.0,tree_top
4.0,0.0,tree_bot
4.0,2.0,off_bot
4.0,2.0,off_bot
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_top
4.0,1.0,tree_bot
4.0,1.0,off_bot
1.0,1.0,tree_top
1.0,1.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_top
4.0,1.0,off_bot
4.0,4.0,tree_top
4.0,5.0,tree_top
4.0,0.0,tree_top
1.0,0.0,tree_top
1.0,1.0,off_top
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,2.0,off_bot
4.0,1.0,off_bot
4.0,3.0,tree_bot
1.0,1.0,off_top
1.0,0.0,tree_top
4.0,5.0,off_bot
4.0,4.0,off_bot
4.0,1.0,off_bot
1.0,0.0,tree_top
4.0,2.0,tree_bot
1.0,1.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
1.0,1.0,off_bot
1.0,1.0,tree_top
4.0,1.0,off_bot
4.0,1.0,off_bot
1.0,1.0,tree_bot
4.0,5.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_top
4.0,0.0,tree_top
1.0,2.0,tree_top
4.0,2.0,tree_top
4.0,8.0,tree_bot
1.0,0.0,off_top
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,2.0,off_bot
4.0,5.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
1.0,1.0,off_top
1.0,0.0,tree_top
4.0,9.0,off_bot
4.0,5.0,tree_bot
1.0,2.0,tree_top
4.0,3.0,off_bot
1.0,2.0,tree_top
4.0,6.0,off_bot
1.0,1.0,tree_top
1.0,1.0,tree_top
4.0,5.0,off_bot
4.0,15.0,tree_bot
4.0,15.0,off_bot
4.0,6.0,tree_bot
4.0,10.0,tree_top
1.0,2.0,off_top
4.0,47.0,tree_bot
4.0,1.0,tree_bot
1.0,3.0,tree_top
4.0,10.0,tree_top
1.0,1.0,off_top
4.0,28.0,tree_top
1.0,0.0,tree_top
4.0,6.0,tree_top
4.0,13.0,tree_top
1.0,0.0,tree_top
4.0,10.0,tree_top
1.0,0.0,off_top
4.0,11.0,tree_bot
4.0,14.0,off_bot
1.0,2.0,tree_top
1.0,0.0,tree_top
4.0,18.0,tree_top
1.0,3.0,off_bot
4.0,0.0,tree_top
4.0,19.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,27.0,tree_top
1.0,1.0,off_top
4.0,4.0,tree_top
4.0,4.0,tree_top
1.0,1.0,tree_top
4.0,5.0,tree_top
1.0,1.0,tree_top
4.0,6.0,tree_top
4.0,0.0,tree_top
4.0,0.0,tree_top
4.0,6.0,off_bot
4.0,5.0,tree_top
4.0,20.0,tree_top
1.0,1.0,tree_top
4.0,48.0,tree_top
1.0,1.0,tree_top
4.0,5.0,off_bot
4.0,5.0,tree_top
1.0,0.0,tree_top
4.0,8.0,tree_top
4.0,30.0,tree_top
4.0,6.0,tree_top
1.0,1.0,tree_top
1.0,1.0,off_top
4.0,4.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,2.0,tree_top
1.0,0.0,tree_top
4.0,24.0,tree_top
4.0,10.0,tree_top
4.0,13.0,off_bot
4.0,10.0,tree_top
4.0,1.0,tree_top
4.0,0.0,tree_top
4.0,10.0,off_bot
1.0,0.0,tree_top
4.0,58.0,tree_top
1.0,0.0,tree_top
4.0,28.0,tree_top
1.0,0.0,tree_top
4.0,4.0,tree_bot
1.0,1.0,off_top
1.0,0.0,tree_top
