gravity,score,death
4.0,0.0,tree_bot
1.0,0.0,tree_bot
1.0,1.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_bot
4.0,0.0,off_bot
1.0,0.0,tree_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,0.0,tree_bot
4.0,0.0,off_bot
4.0,0.0,off_bot
1.0,1.0,tree_top
1.0,2.0,tree_top
4.0,2.0,off_bot
4.0,1.0,tree_bot
1.0,0.0,tree_top
4.0,0.0,tree_top
4.0,1.0,off_bot
4.0,0.0,tree_top
4.0,0.0,tree_top
1.0,0.0,tree_top
4.0,2.0,off_bot
4.0,0.0,tree_bot
4.0,2.0,tree_bot
4.0,0.0,tree_top
4.0,1.0,off_bot
4.0,1.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,0.0,tree_top
4.0,2.0,tree_bot
4.0,0.0,tree_bot
4.0,0.0,off_bot
4.0,0.0,tree_top
4.0,1.0,tree_top
1.0,0.0,tree_top
1.0,2.0,tree_top
4.0,2.0,off_bot
4.0,0.0,tree_bot
1.0,0.0,tree_top
4.0,0.0,tree_bot
4.0,1.0,tree_bot
1.0,0.0,tree_top
4.0,1.0,off_bot
4.0,1.0,tree_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,2.0,tree_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,1.0,tree_bot
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,14.0,off_bot
4.0,20.0,tree_bot
1.0,1.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,3.0,tree_bot
4.0,2.0,tree_bot
4.0,194.0,tree_bot
4.0,422.0,tree_top
4.0,161.0,tree_top
1.0,0.0,tree_top
1.0,1.0,off_top
1.0,1.0,off_top
4.0,79.0,off_bot
1.0,2.0,off_top
4.0,36.0,tree_top
4.0,43.0,tree_top
4.0,27.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,142.0,tree_top
1.0,1.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,117.0,tree_top
1.0,0.0,tree_top
4.0,46.0,tree_top
4.0,3.0,tree_bot
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,234.0,tree_top
1.0,0.0,tree_top
4.0,2.0,tree_bot
4.0,71.0,off_bot
4.0,56.0,tree_top
1.0,1.0,off_top
4.0,126.0,tree_top
4.0,64.0,tree_bot
1.0,0.0,tree_top
4.0,5.0,tree_bot
1.0,0.0,tree_top
1.0,1.0,tree_top
