gravity,score,death
4.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_bot
4.0,0.0,off_bot
4.0,0.0,off_bot
1.0,0.0,tree_top
1.0,1.0,tree_top
4.0,1.0,off_bot
1.0,0.0,tree_top
4.0,0.0,off_bot
4.0,2.0,tree_bot
4.0,0.0,tree_top
4.0,0.0,off_bot
1.0,1.0,tree_top
1.0,1.0,off_bot
4.0,0.0,tree_bot
4.0,2.0,off_bot
1.0,0.0,tree_top
4.0,0.0,tree_bot
4.0,0.0,off_bot
1.0,0.0,tree_top
4.0,1.0,tree_top
4.0,0.0,tree_bot
1.0,1.0,off_top
1.0,0.0,tree_top
4.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,2.0,off_top
1.0,1.0,off_bot
1.0,0.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
1.0,0.0,tree_top
4.0,18.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,1.0,off_bot
1.0,0.0,tree_bot
4.0,3.0,off_bot
1.0,0.0,tree_top
1.0,0.0,tree_top
4.0,20.0,off_bot
4.0,9.0,off_bot
1.0,0.0,tree_top
4.0,0.0,tree_top
1.0,0.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
4.0,13.0,tree_top
4.0,1.0,tree_top
1.0,1.0,tree_top
4.0,11.0,tree_top
1.0,0.0,tree_top
4.0,5.0,tree_top
1.0,0.0,tree_top
1.0,3.0,tree_top
4.0,2.0,tree_top
4.0,2.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
4.0,53.0,tree_bot
4.0,327.0,tree_bot
1.0,1.0,tree_top
4.0,334.0,tree_top
1.0,1.0,tree_top
1.0,1.0,tree_top
4.0,291.0,tree_bot
1.0,1.0,off_top
1.0,1.0,tree_top
1.0,1.0,off_top
4.0,413.0,tree_bot
4.0,83.0,tree_top
1.0,1.0,tree_top
4.0,102.0,off_bot
4.0,285.0,tree_bot
4.0,53.0,tree_top
4.0,51.0,tree_bot
1.0,1.0,off_top
1.0,1.0,tree_top
4.0,220.0,tree_bot
1.0,1.0,tree_top
4.0,9.0,tree_bot
1.0,2.0,tree_top
4.0,97.0,tree_top
1.0,1.0,off_top
4.0,244.0,tree_top
1.0,1.0,tree_top
4.0,120.0,tree_top
1.0,1.0,tree_top
4.0,1053.0,tree_top
1.0,1.0,off_top
4.0,20.0,tree_bot
1.0,1.0,tree_top
4.0,158.0,tree_bot
1.0,1.0,off_top
1.0,1.0,tree_top
