eta, gamma, epsilon, mds, mys, mss, thresh, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
0.1,1,0.225,119,36,56,0.001,8.54,1.0,14.8,74.0,tree_top,11.8571428571,2.0,23.0,74.0,tree_top,0.75,1.0,1.0,2.0,tree_top,19.2619047619,12.5,33.6,74.0,tree_top
0.1,1,0.225,119,36,56,0.001,94.18,1.0,136.4,1469.0,tree_top,133.957142857,3.5,214.4,1469.0,tree_top,1.05714285714,1.0,1.0,4.0,tree_top,266.857142857,186.0,386.2,1469.0,tree_top
0.1,1,0.225,119,36,56,0.001,106.09,1.0,151.6,1395.0,tree_top,151.3,2.5,326.2,1395.0,tree_top,1.03846153846,1.0,2.0,4.0,tree_top,240.090909091,107.0,429.8,1395.0,tree_top
0.1,1,0.225,119,36,56,0.001,118.98,2.0,140.2,1998.0,tree_top,169.685714286,3.0,295.6,1998.0,tree_top,1.94117647059,2.0,3.0,6.0,tree_top,328.111111111,199.0,453.0,1998.0,tree_top
0.1,1,0.225,119,36,56,0.001,7.78,1.0,5.0,206.0,tree_top,10.7,2.0,7.2,206.0,tree_top,1.36585365854,1.0,2.0,4.0,tree_top,23.8965517241,7.0,26.8,206.0,tree_top
0.1,1,0.225,119,36,56,0.001,142.5,1.0,118.2,1750.0,tree_top,203.3,3.0,246.4,1750.0,tree_top,1.39393939394,1.0,2.0,5.0,tree_top,383.378378378,148.0,644.6,1750.0,tree_top
0.1,1,0.225,119,36,56,0.001,232.96,66.0,402.6,1523.0,tree_top,256.771428571,66.0,417.8,1523.0,tree_top,1.23333333333,1.0,2.0,3.0,tree_top,448.425,290.5,884.8,1523.0,tree_top
0.1,1,0.225,119,36,56,0.001,54.67,1.0,16.4,881.0,tree_top,77.6,2.0,124.8,881.0,tree_top,1.10526315789,1.0,1.6,4.0,tree_top,168.4375,92.0,267.0,881.0,tree_top
0.1,1,0.225,119,36,56,0.001,70.34,1.0,21.8,797.0,tree_top,100.1,2.0,188.0,797.0,tree_top,1.10810810811,1.0,1.0,5.0,tree_top,211.090909091,84.0,422.0,797.0,tree_top
0.1,1,0.225,119,36,56,0.001,103.82,2.0,184.4,1285.0,tree_top,147.671428571,3.0,252.2,1285.0,tree_top,1.28947368421,1.0,2.0,3.0,tree_top,321.5,231.0,491.6,1285.0,tree_top
0.1,1,0.225,119,36,56,0.001,136.2,2.0,173.0,1742.0,tree_top,107.685714286,2.0,117.4,1021.0,tree_top,1.25,1.0,2.0,6.0,tree_top,287.807692308,126.5,572.0,1021.0,tree_top
0.1,1,0.225,119,36,56,0.001,45.64,1.0,43.0,672.0,tree_top,64.8142857143,3.0,75.6,672.0,tree_top,1.4,1.0,2.0,5.0,tree_top,149.366666667,71.0,270.0,672.0,tree_top
0.1,1,0.225,119,36,56,0.001,198.97,8.0,333.2,1874.0,tree_top,183.414285714,48.0,333.2,1874.0,tree_top,1.40625,1.0,2.0,4.0,tree_top,336.684210526,217.0,559.0,1874.0,tree_top
0.1,1,0.225,119,36,56,0.001,72.48,1.0,48.6,1052.0,tree_top,103.157142857,2.0,129.2,1052.0,tree_top,1.15384615385,1.0,2.0,4.0,tree_top,231.483870968,125.0,451.0,1052.0,tree_top
0.1,1,0.225,119,36,56,0.001,19.49,2.0,8.2,306.0,tree_top,27.3428571429,3.0,29.2,306.0,tree_top,2.0,1.0,3.0,6.0,tree_top,52.6857142857,12.0,95.2,306.0,tree_bot
0.1,1,0.225,119,36,56,0.001,85.1,1.0,58.8,1779.0,tree_top,121.157142857,2.0,139.0,1779.0,tree_top,1.11111111111,1.0,1.0,3.0,tree_top,248.264705882,118.0,331.0,1779.0,tree_top
0.1,1,0.225,119,36,56,0.001,124.99,3.5,170.2,1503.0,tree_top,145.585714286,3.0,230.0,1503.0,tree_top,1.35,1.0,2.2,5.0,tree_top,337.9,216.5,535.0,1503.0,tree_top
0.1,1,0.225,119,36,56,0.001,46.07,2.0,14.8,1351.0,tree_top,65.4285714286,2.5,61.8,1351.0,tree_top,1.76315789474,1.0,2.6,6.0,tree_top,141.03125,44.5,170.0,1351.0,tree_bot
0.1,1,0.225,119,36,56,0.001,33.5,1.0,5.0,738.0,tree_top,47.5,2.0,13.2,738.0,tree_top,1.46341463415,1.0,3.0,5.0,tree_top,112.586206897,12.0,218.0,738.0,tree_bot
0.1,1,0.225,119,36,56,0.001,110.47,2.0,142.8,1690.0,tree_top,157.371428571,5.5,180.0,1690.0,tree_top,1.375,1.0,2.0,5.0,tree_top,288.736842105,146.0,445.8,1690.0,tree_top
0.1,1,0.225,119,36,56,0.001,40.82,1.0,26.4,668.0,tree_top,57.8,1.0,71.6,668.0,tree_top,0.9,1.0,1.0,3.0,tree_top,133.666666667,63.0,203.0,668.0,tree_bot
0.1,1,0.225,119,36,56,0.001,125.64,1.0,139.6,2341.0,tree_top,179.071428571,4.0,357.8,2341.0,tree_top,1.25,1.0,2.0,5.0,tree_top,328.815789474,153.0,549.6,2341.0,tree_top
0.1,1,0.225,119,36,56,0.001,30.89,1.0,8.6,998.0,tree_top,43.6857142857,2.5,64.6,998.0,tree_top,1.40540540541,1.0,2.0,6.0,tree_top,91.0909090909,34.0,136.0,998.0,tree_top
0.1,1,0.225,119,36,56,0.001,141.18,3.0,213.8,1589.0,tree_top,199.528571429,43.5,288.6,1589.0,tree_top,1.5625,1.0,2.0,5.0,tree_top,366.236842105,227.0,645.8,1589.0,tree_top
0.1,1,0.225,119,36,56,0.001,130.6,2.5,167.8,2573.0,tree_top,185.185714286,26.0,319.2,2573.0,tree_top,1.54838709677,1.0,2.0,6.0,tree_top,331.153846154,175.0,446.0,2573.0,tree_top
0.1,1,0.225,119,36,56,0.001,107.52,2.0,143.0,1275.0,tree_top,153.157142857,2.5,252.6,1275.0,tree_top,1.21212121212,1.0,2.0,4.0,tree_top,288.675675676,156.0,415.6,1275.0,tree_top
0.1,1,0.225,119,36,56,0.001,206.99,55.0,338.6,1581.0,tree_top,233.3,107.0,388.8,1581.0,tree_top,1.1724137931,1.0,2.0,3.0,tree_top,397.487804878,288.0,700.0,1581.0,tree_top
0.1,1,0.225,119,36,56,0.001,93.87,2.0,33.4,1769.0,tree_top,133.542857143,2.5,137.0,1769.0,tree_top,1.05263157895,1.0,2.0,3.0,tree_top,290.875,79.5,530.4,1769.0,tree_top
0.1,1,0.225,119,36,56,0.001,51.62,1.0,85.0,893.0,tree_top,73.3857142857,2.5,106.8,893.0,tree_top,1.09375,1.0,1.0,2.0,tree_top,134.263157895,96.0,183.6,893.0,tree_bot
0.1,1,0.225,119,36,56,0.001,29.29,2.0,42.4,258.0,tree_top,41.1857142857,3.5,62.2,258.0,tree_top,1.40540540541,1.0,2.0,5.0,tree_top,85.7878787879,54.0,163.6,258.0,off_bot
0.1,1,0.225,119,36,56,0.001,120.78,2.0,192.0,1482.0,tree_top,172.2,39.5,255.6,1482.0,tree_top,1.26923076923,1.0,2.0,4.0,tree_top,273.204545455,181.5,370.0,1482.0,tree_top
0.1,1,0.225,119,36,56,0.001,109.95,1.0,119.0,2111.0,tree_top,156.628571429,3.0,201.6,2111.0,tree_top,1.42105263158,1.0,2.6,5.0,tree_top,340.9375,193.5,408.0,2111.0,tree_top
0.1,1,0.225,119,36,56,0.001,106.93,2.0,85.8,1218.0,tree_top,152.314285714,4.0,266.2,1218.0,tree_top,1.90625,1.5,3.0,5.0,tree_top,278.973684211,106.0,626.6,1218.0,tree_top
0.1,1,0.225,119,36,56,0.001,30.94,1.0,21.4,409.0,tree_top,43.7,2.0,59.6,409.0,tree_top,1.13513513514,1.0,2.0,4.0,tree_top,91.4242424242,36.0,143.6,409.0,tree_top
0.1,1,0.225,119,36,56,0.001,101.7,2.0,193.8,910.0,tree_top,144.942857143,3.5,269.4,910.0,tree_top,1.25714285714,1.0,2.0,8.0,tree_top,288.628571429,206.0,451.6,910.0,tree_top
0.1,1,0.225,119,36,56,0.001,67.79,1.0,54.6,1018.0,tree_top,96.5285714286,2.5,151.2,1018.0,tree_top,0.969696969697,1.0,2.0,4.0,tree_top,181.756756757,75.0,302.6,1018.0,tree_top
0.1,1,0.225,119,36,56,0.001,52.17,2.0,23.2,1458.0,tree_top,74.1,2.0,70.6,1458.0,tree_top,1.51282051282,1.0,2.0,6.0,tree_top,165.419354839,66.0,250.0,1458.0,tree_top
0.1,1,0.225,119,36,56,0.001,15.63,2.0,11.2,207.0,tree_top,21.7857142857,2.0,21.0,207.0,tree_top,1.35714285714,1.0,2.0,5.0,tree_top,52.4285714286,22.5,76.4,207.0,tree_bot
0.1,1,0.225,119,36,56,0.001,84.74,2.0,58.4,1151.0,tree_top,120.628571429,3.0,141.2,1151.0,tree_top,2.17948717949,2.0,3.0,12.0,tree_top,269.64516129,129.0,421.0,1151.0,tree_top
0.1,1,0.225,119,36,56,0.001,25.66,1.0,5.0,664.0,tree_top,36.2285714286,2.0,20.2,664.0,tree_top,1.71052631579,1.5,2.0,5.0,tree_top,77.21875,14.0,78.8,664.0,tree_bot
0.1,1,0.225,119,36,56,0.001,41.01,1.0,10.0,809.0,tree_top,58.1857142857,2.0,32.6,809.0,tree_top,1.08333333333,1.0,2.0,4.0,tree_top,118.647058824,14.5,151.0,809.0,tree_top
