,Score,Death
0,0.0,tree_bot
1,0.0,tree_bot
2,0.0,off_bot
3,0.0,off_bot
4,0.0,tree_top
5,0.0,off_bot
6,0.0,tree_bot
7,1.0,off_bot
8,0.0,off_bot
9,0.0,tree_top
10,0.0,off_bot
11,0.0,tree_top
12,0.0,off_bot
13,0.0,tree_bot
14,0.0,off_bot
15,0.0,off_bot
16,1.0,off_bot
17,0.0,tree_bot
18,0.0,off_bot
19,0.0,tree_top
20,2.0,off_bot
21,0.0,tree_bot
22,0.0,tree_top
23,0.0,off_bot
24,0.0,tree_bot
25,1.0,off_bot
26,0.0,tree_top
27,0.0,tree_bot
28,0.0,off_bot
29,0.0,tree_top
30,0.0,tree_top
31,0.0,tree_bot
32,0.0,tree_bot
33,0.0,tree_bot
34,0.0,tree_top
35,1.0,off_bot
36,0.0,off_bot
37,0.0,tree_bot
38,0.0,off_bot
39,1.0,off_bot
40,0.0,tree_bot
41,0.0,off_bot
42,1.0,tree_top
43,0.0,off_bot
44,0.0,tree_top
45,0.0,off_bot
46,1.0,tree_bot
47,0.0,off_bot
48,1.0,off_bot
49,0.0,tree_top
50,1.0,tree_top
51,1.0,off_bot
52,0.0,off_bot
53,0.0,tree_top
54,0.0,tree_bot
55,0.0,tree_bot
56,1.0,off_bot
57,1.0,off_bot
58,0.0,off_bot
59,0.0,tree_bot
60,0.0,off_bot
61,1.0,tree_bot
62,0.0,tree_bot
63,0.0,tree_top
64,0.0,tree_bot
65,0.0,off_bot
66,0.0,tree_bot
67,0.0,tree_bot
68,1.0,off_bot
69,0.0,tree_bot
70,0.0,tree_top
71,0.0,off_bot
72,0.0,tree_bot
73,0.0,tree_bot
74,0.0,off_bot
75,1.0,tree_bot
76,0.0,tree_bot
77,1.0,tree_bot
78,0.0,off_bot
79,1.0,tree_bot
80,0.0,tree_top
81,1.0,off_bot
82,0.0,tree_bot
83,1.0,off_bot
84,0.0,tree_bot
85,0.0,tree_bot
86,0.0,tree_bot
87,0.0,off_bot
88,1.0,off_bot
89,0.0,tree_bot
90,1.0,off_bot
91,2.0,off_bot
92,0.0,tree_top
93,1.0,off_bot
94,0.0,tree_bot
95,0.0,tree_bot
96,0.0,tree_bot
97,0.0,tree_bot
98,3.0,off_bot
99,0.0,tree_bot
100,1.0,off_bot
101,1.0,off_bot
102,0.0,tree_bot
103,1.0,tree_bot
104,1.0,tree_bot
105,0.0,tree_top
106,1.0,off_bot
107,1.0,off_bot
108,1.0,off_bot
109,0.0,tree_bot
110,1.0,tree_bot
111,2.0,off_bot
112,1.0,off_bot
113,1.0,off_bot
114,0.0,tree_bot
115,0.0,tree_top
116,1.0,off_bot
117,1.0,off_bot
118,1.0,off_bot
119,2.0,off_bot
120,1.0,off_bot
121,1.0,tree_bot
122,0.0,tree_bot
123,1.0,off_bot
124,5.0,off_bot
125,1.0,off_bot
126,0.0,tree_bot
127,2.0,off_bot
128,0.0,tree_bot
129,1.0,off_bot
130,1.0,off_bot
131,0.0,tree_bot
132,1.0,off_bot
133,4.0,off_bot
134,0.0,tree_bot
135,2.0,off_bot
136,1.0,tree_bot
137,1.0,off_bot
138,0.0,tree_bot
139,1.0,tree_top
140,2.0,tree_top
141,3.0,tree_top
142,1.0,off_bot
143,2.0,tree_bot
144,0.0,tree_bot
145,0.0,tree_bot
