,Gravity,Score,Death
0,1.0,0.0,off_bot
1,1.0,0.0,tree_bot
2,1.0,0.0,off_bot
3,1.0,0.0,tree_top
4,1.0,0.0,tree_top
5,1.0,1.0,off_bot
6,1.0,0.0,tree_bot
7,1.0,0.0,off_bot
8,1.0,0.0,off_bot
9,1.0,0.0,tree_top
10,1.0,1.0,off_bot
11,1.0,0.0,tree_bot
12,1.0,0.0,tree_top
13,1.0,1.0,off_bot
14,1.0,0.0,off_bot
15,1.0,0.0,tree_bot
16,1.0,0.0,tree_bot
17,1.0,0.0,tree_bot
18,1.0,0.0,off_bot
19,1.0,0.0,off_bot
20,1.0,0.0,off_bot
21,1.0,0.0,tree_top
22,1.0,0.0,tree_top
23,1.0,0.0,tree_top
24,1.0,0.0,off_bot
25,1.0,1.0,off_bot
26,1.0,0.0,off_bot
27,1.0,0.0,tree_bot
28,1.0,0.0,off_bot
29,1.0,0.0,off_bot
30,1.0,0.0,tree_bot
31,1.0,1.0,off_bot
32,1.0,0.0,off_bot
33,1.0,1.0,off_bot
34,1.0,0.0,off_bot
35,1.0,0.0,tree_bot
36,1.0,0.0,tree_bot
37,1.0,0.0,tree_bot
38,1.0,0.0,tree_top
39,1.0,0.0,tree_top
40,1.0,0.0,tree_bot
41,1.0,1.0,off_bot
42,1.0,0.0,tree_top
43,1.0,0.0,tree_bot
44,1.0,0.0,off_bot
45,1.0,0.0,tree_top
46,1.0,1.0,off_bot
47,1.0,0.0,tree_bot
48,1.0,0.0,tree_bot
49,1.0,0.0,off_bot
50,1.0,0.0,tree_bot
51,1.0,0.0,off_bot
52,1.0,1.0,off_bot
53,1.0,0.0,tree_bot
54,1.0,0.0,off_bot
55,1.0,0.0,tree_bot
56,1.0,0.0,tree_bot
57,1.0,0.0,tree_top
58,1.0,1.0,tree_bot
59,1.0,0.0,tree_bot
60,1.0,0.0,tree_bot
61,1.0,0.0,tree_bot
62,1.0,1.0,off_bot
63,1.0,0.0,tree_top
64,1.0,0.0,tree_bot
65,1.0,1.0,off_bot
66,0.0,0.0,tree_top
67,1.0,0.0,tree_top
68,1.0,0.0,tree_top
69,1.0,0.0,off_bot
70,1.0,0.0,tree_bot
71,1.0,1.0,off_bot
72,1.0,0.0,tree_bot
73,1.0,0.0,tree_top
74,1.0,0.0,tree_bot
75,1.0,1.0,off_bot
76,1.0,1.0,off_bot
77,1.0,0.0,tree_bot
78,1.0,0.0,tree_bot
79,1.0,1.0,off_bot
80,1.0,0.0,tree_bot
81,1.0,0.0,tree_bot
82,1.0,2.0,tree_top
83,1.0,0.0,off_bot
84,1.0,0.0,tree_top
85,1.0,1.0,off_bot
86,1.0,0.0,tree_top
87,1.0,0.0,tree_top
88,1.0,1.0,tree_bot
89,1.0,1.0,off_bot
90,1.0,0.0,tree_top
91,1.0,0.0,tree_bot
92,1.0,0.0,tree_bot
93,1.0,0.0,tree_bot
94,1.0,1.0,off_bot
95,1.0,0.0,tree_top
96,1.0,1.0,off_bot
97,1.0,0.0,tree_top
98,1.0,1.0,off_bot
99,1.0,0.0,tree_bot
100,1.0,0.0,off_bot
101,1.0,0.0,tree_bot
102,1.0,0.0,tree_bot
103,1.0,0.0,tree_bot
104,1.0,0.0,tree_bot
105,1.0,0.0,tree_top
106,1.0,0.0,tree_bot
107,1.0,1.0,tree_top
108,1.0,1.0,off_bot
109,1.0,0.0,tree_bot
110,1.0,0.0,tree_bot
111,1.0,0.0,tree_bot
112,1.0,1.0,off_bot
113,1.0,0.0,off_bot
114,1.0,1.0,off_bot
115,1.0,0.0,tree_bot
116,1.0,0.0,tree_bot
117,1.0,1.0,off_bot
118,1.0,0.0,tree_bot
119,1.0,0.0,off_bot
120,1.0,0.0,tree_bot
121,1.0,2.0,off_bot
122,1.0,0.0,tree_top
123,1.0,1.0,off_bot
124,1.0,1.0,off_bot
125,1.0,1.0,tree_top
126,1.0,0.0,tree_bot
127,1.0,2.0,off_bot
128,1.0,0.0,tree_bot
129,1.0,0.0,tree_top
130,1.0,1.0,off_bot
131,1.0,1.0,off_bot
132,1.0,0.0,tree_bot
133,1.0,1.0,off_bot
134,1.0,0.0,tree_bot
135,1.0,1.0,off_bot
136,1.0,0.0,tree_top
137,1.0,0.0,off_bot
138,1.0,1.0,tree_bot
139,1.0,1.0,off_bot
140,1.0,1.0,off_bot
141,1.0,0.0,off_bot
142,1.0,0.0,tree_top
143,1.0,2.0,off_bot
144,1.0,2.0,tree_bot
145,1.0,1.0,off_bot
146,1.0,0.0,tree_bot
147,1.0,3.0,off_bot
148,1.0,0.0,tree_top
149,1.0,1.0,off_bot
150,1.0,0.0,tree_bot
151,1.0,1.0,off_bot
152,1.0,0.0,tree_bot
153,1.0,1.0,off_bot
154,1.0,0.0,tree_top
155,1.0,1.0,off_bot
156,1.0,0.0,off_bot
157,1.0,1.0,off_bot
158,1.0,1.0,off_bot
159,1.0,1.0,off_bot
160,1.0,2.0,off_bot
161,1.0,2.0,tree_bot
162,1.0,0.0,tree_bot
163,1.0,1.0,tree_bot
164,1.0,4.0,off_bot
165,1.0,1.0,off_bot
166,1.0,0.0,tree_bot
167,1.0,0.0,off_bot
168,1.0,1.0,off_bot
169,1.0,3.0,off_bot
170,1.0,1.0,off_bot
171,1.0,0.0,tree_bot
172,1.0,1.0,tree_bot
173,1.0,0.0,tree_bot
174,1.0,4.0,tree_top
175,1.0,1.0,off_bot
176,1.0,4.0,tree_bot
177,1.0,0.0,tree_bot
178,1.0,2.0,off_bot
179,1.0,1.0,off_bot
180,1.0,1.0,off_bot
181,1.0,1.0,tree_bot
182,1.0,2.0,off_bot
183,1.0,0.0,tree_top
184,1.0,0.0,tree_bot
185,1.0,0.0,tree_top
186,1.0,0.0,tree_bot
187,1.0,3.0,off_bot
188,1.0,0.0,tree_top
189,1.0,0.0,tree_bot
190,1.0,3.0,tree_top
191,1.0,0.0,tree_bot
192,1.0,0.0,tree_bot
193,1.0,1.0,off_bot
194,1.0,1.0,tree_bot
195,1.0,5.0,tree_top
196,1.0,1.0,tree_bot
197,1.0,1.0,off_bot
198,1.0,0.0,tree_bot
199,1.0,0.0,tree_top
200,1.0,2.0,off_bot
201,1.0,0.0,tree_bot
202,1.0,1.0,off_bot
203,1.0,0.0,tree_bot
204,1.0,0.0,tree_bot
205,1.0,1.0,tree_bot
206,1.0,0.0,tree_bot
207,1.0,3.0,tree_top
208,1.0,2.0,off_bot
209,1.0,0.0,tree_top
210,1.0,0.0,tree_top
211,1.0,0.0,tree_top
212,1.0,5.0,off_bot
213,1.0,1.0,off_bot
214,1.0,2.0,off_bot
215,1.0,1.0,off_bot
216,1.0,0.0,tree_bot
217,1.0,4.0,off_bot
218,1.0,1.0,off_bot
219,1.0,2.0,off_bot
220,1.0,1.0,off_bot
221,1.0,1.0,off_bot
222,1.0,1.0,tree_bot
223,0.0,1.0,tree_bot
224,1.0,0.0,tree_bot
225,1.0,1.0,off_bot
226,1.0,0.0,tree_top
227,1.0,0.0,tree_bot
228,1.0,2.0,off_bot
229,1.0,2.0,off_bot
230,1.0,0.0,off_bot
231,1.0,1.0,tree_top
232,1.0,3.0,off_bot
233,1.0,0.0,tree_top
234,1.0,0.0,tree_top
235,1.0,3.0,tree_bot
236,1.0,1.0,off_bot
237,1.0,2.0,tree_bot
238,1.0,3.0,off_bot
239,1.0,0.0,tree_top
240,1.0,1.0,off_bot
241,1.0,9.0,off_bot
242,1.0,0.0,tree_top
243,1.0,1.0,tree_bot
244,1.0,0.0,tree_top
245,1.0,2.0,off_bot
246,1.0,2.0,off_bot
247,1.0,3.0,tree_bot
248,1.0,0.0,tree_top
249,1.0,1.0,off_bot
250,1.0,2.0,off_bot
251,1.0,5.0,off_bot
252,1.0,2.0,tree_bot
253,1.0,1.0,off_bot
254,1.0,0.0,tree_bot
255,1.0,1.0,off_bot
256,1.0,5.0,off_bot
257,1.0,8.0,tree_top
258,1.0,1.0,off_bot
259,1.0,0.0,tree_top
260,1.0,2.0,tree_bot
261,1.0,3.0,tree_bot
262,1.0,3.0,tree_bot
263,1.0,0.0,tree_top
264,1.0,4.0,off_bot
265,1.0,4.0,off_bot
266,1.0,0.0,tree_bot
267,1.0,1.0,off_bot
268,1.0,3.0,tree_top
269,1.0,0.0,tree_top
270,1.0,1.0,off_bot
271,1.0,0.0,tree_top
272,1.0,1.0,tree_bot
273,1.0,1.0,off_bot
274,1.0,4.0,tree_top
275,1.0,1.0,tree_bot
276,1.0,1.0,off_bot
277,1.0,2.0,tree_bot
