,Score,Death,,out of 150,,,out of 100,
0,0,off_bot,,max ,1102,,max ,524
1,1,off_bot,,mean,106.0266667,,mean,47.33
2,0,tree_bot,,,,,,
3,0,tree_top,,,,,,
4,1,off_bot,,,,,,
5,0,tree_top,,,,,,
6,1,off_bot,,,,,,
7,0,tree_top,,,,,,
8,0,tree_top,,,,,,
9,0,off_bot,,,,,,
10,0,off_bot,,,,,,
11,0,off_bot,,,,,,
12,1,off_bot,,,,,,
13,0,off_bot,,,,,,
14,0,tree_bot,,,,,,
15,0,tree_bot,,,,,,
16,1,off_bot,,,,,,
17,0,tree_bot,,,,,,
18,0,tree_bot,,,,,,
19,0,tree_bot,,,,,,
20,0,off_bot,,,,,,
21,1,tree_bot,,,,,,
22,4,tree_bot,,,,,,
23,0,off_bot,,,,,,
24,0,tree_bot,,,,,,
25,5,tree_top,,,,,,
26,0,tree_bot,,,,,,
27,0,tree_bot,,,,,,
28,1,off_bot,,,,,,
29,1,tree_top,,,,,,
30,1,tree_top,,,,,,
31,0,tree_top,,,,,,
32,3,off_bot,,,,,,
33,4,off_bot,,,,,,
34,0,tree_bot,,,,,,
35,0,tree_top,,,,,,
36,2,off_bot,,,,,,
37,4,tree_bot,,,,,,
38,3,off_bot,,,,,,
39,0,tree_top,,,,,,
40,1,tree_bot,,,,,,
41,1,tree_top,,,,,,
42,3,tree_top,,,,,,
43,2,off_bot,,,,,,
44,3,off_bot,,,,,,
45,13,tree_bot,,,,,,
46,1,tree_bot,,,,,,
47,5,tree_bot,,,,,,
48,1,off_bot,,,,,,
49,0,tree_bot,,,,,,
50,5,off_bot,,,,,,
51,10,off_bot,,,,,,
52,5,tree_bot,,,,,,
53,7,off_bot,,,,,,
54,15,tree_bot,,,,,,
55,6,tree_top,,,,,,
56,5,off_bot,,,,,,
57,2,off_bot,,,,,,
58,48,tree_top,,,,,,
59,20,off_bot,,,,,,
60,2,tree_top,,,,,,
61,5,tree_top,,,,,,
62,15,off_bot,,,,,,
63,16,off_bot,,,,,,
64,5,off_bot,,,,,,
65,8,off_bot,,,,,,
66,3,tree_top,,,,,,
67,18,tree_bot,,,,,,
68,7,off_bot,,,,,,
69,4,off_bot,,,,,,
70,18,off_bot,,,,,,
71,53,off_bot,,,,,,
72,106,tree_top,,,,,,
73,6,tree_top,,,,,,
74,133,tree_bot,,,,,,
75,64,off_bot,,,,,,
76,42,tree_top,,,,,,
77,22,tree_bot,,,,,,
78,16,tree_top,,,,,,
79,96,tree_bot,,,,,,
80,97,tree_top,,,,,,
81,112,tree_top,,,,,,
82,187,off_bot,,,,,,
83,37,tree_top,,,,,,
84,377,tree_top,,,,,,
85,77,tree_top,,,,,,
86,59,tree_bot,,,,,,
87,208,tree_top,,,,,,
88,478,tree_bot,,,,,,
89,170,tree_bot,,,,,,
90,18,tree_bot,,,,,,
91,29,tree_top,,,,,,
92,354,tree_bot,,,,,,
93,279,tree_bot,,,,,,
94,48,tree_top,,,,,,
95,524,tree_top,,,,,,
96,137,tree_top,,,,,,
97,258,off_bot,,,,,,
98,203,tree_bot,,,,,,
99,255,tree_top,,,,,,
100,258,tree_top,,,,,,
101,65,tree_bot,,,,,,
102,224,tree_top,,,,,,
103,328,tree_top,,,,,,
104,421,tree_top,,,,,,
105,591,tree_top,,,,,,
106,18,tree_bot,,,,,,
107,92,tree_top,,,,,,
108,186,tree_top,,,,,,
109,41,tree_bot,,,,,,
110,19,tree_top,,,,,,
111,136,tree_top,,,,,,
112,24,tree_top,,,,,,
113,12,tree_top,,,,,,
114,494,tree_top,,,,,,
115,252,tree_bot,,,,,,
116,79,tree_top,,,,,,
117,164,tree_bot,,,,,,
118,429,tree_top,,,,,,
119,550,tree_top,,,,,,
120,188,tree_top,,,,,,
121,105,tree_top,,,,,,
122,11,tree_top,,,,,,
123,6,tree_top,,,,,,
124,307,tree_top,,,,,,
125,41,tree_top,,,,,,
126,178,tree_top,,,,,,
127,178,tree_top,,,,,,
128,210,tree_bot,,,,,,
129,26,tree_top,,,,,,
130,36,tree_bot,,,,,,
131,39,tree_top,,,,,,
132,1102,tree_top,,,,,,
133,58,off_bot,,,,,,
134,69,tree_top,,,,,,
135,251,tree_bot,,,,,,
136,176,tree_bot,,,,,,
137,392,tree_bot,,,,,,
138,594,tree_top,,,,,,
139,863,tree_top,,,,,,
140,520,tree_top,,,,,,
141,118,tree_bot,,,,,,
142,488,tree_bot,,,,,,
143,62,tree_top,,,,,,
144,233,off_bot,,,,,,
145,107,tree_top,,,,,,
146,260,tree_top,,,,,,
147,91,tree_bot,,,,,,
148,71,tree_bot,,,,,,
149,8,tree_top,,,,,,
