eta, gamma, epsilon, mds, mys, mss, thresh, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
0.1,1,0.3,119,36,56,0.001,78.12,2.0,94.6,878.0,tree_top,111.228571429,5.5,153.8,878.0,tree_top,1.33333333333,1.0,2.0,4.0,tree_top,209.243243243,128.0,426.4,878.0,tree_top
0.1,1,0.275,119,36,56,0.001,69.97,2.0,105.6,1031.0,tree_top,99.5571428571,8.0,206.4,1031.0,tree_top,1.91176470588,1.0,3.0,9.0,tree_top,191.777777778,121.0,324.0,1031.0,tree_top
0.1,1,0.25,119,36,56,0.001,20.9,1.0,22.0,193.0,tree_top,29.4714285714,2.0,65.0,193.0,tree_top,1.48484848485,1.0,2.0,10.0,tree_top,54.4324324324,43.0,95.4,193.0,tree_top
0.1,1,0.225,119,36,56,0.001,86.91,2.0,170.2,1172.0,tree_top,123.671428571,3.0,240.8,1172.0,tree_top,1.62162162162,1.0,3.0,4.0,tree_top,260.515151515,197.0,405.0,1172.0,tree_top
0.1,1,0.2,119,36,56,0.001,108.42,1.5,153.8,1216.0,tree_top,154.185714286,4.5,313.6,1216.0,tree_top,0.969696969697,1.0,1.0,4.0,tree_top,290.837837838,215.0,493.4,1216.0,tree_top
0.1,1,0.3,119,36,56,0.001,85.16,2.0,61.0,1047.0,tree_top,121.028571429,3.0,224.4,1047.0,tree_top,2.02564102564,1.0,3.0,8.0,tree_top,270.741935484,204.0,437.0,1047.0,tree_top
0.1,1,0.275,119,36,56,0.001,85.04,2.0,80.2,1720.0,tree_top,120.685714286,4.0,173.0,1720.0,tree_top,1.42424242424,1.0,2.0,4.0,tree_top,227.054054054,105.0,377.2,1720.0,tree_top
0.1,1,0.25,119,36,56,0.001,80.4,1.0,38.2,1625.0,tree_top,114.428571429,2.0,147.4,1625.0,tree_top,1.375,1.0,2.0,3.0,tree_top,265.166666667,144.0,455.6,1625.0,tree_top
0.1,1,0.225,119,36,56,0.001,81.9,1.0,87.6,1160.0,tree_top,116.728571429,2.0,216.4,1160.0,tree_top,1.08108108108,1.0,2.0,4.0,tree_top,246.393939394,188.0,343.4,1160.0,tree_top
0.1,1,0.2,119,36,56,0.001,171.55,2.0,204.6,2394.0,tree_top,244.614285714,6.0,426.8,2394.0,tree_top,1.375,1.0,2.0,4.0,tree_top,449.447368421,211.0,743.6,2394.0,tree_top
0.1,1,0.3,119,36,56,0.001,64.9,1.0,35.6,1124.0,tree_top,92.3428571429,2.0,112.8,1124.0,tree_top,1.15789473684,1.0,2.0,3.0,tree_top,200.625,60.5,342.2,1124.0,tree_top
0.1,1,0.275,119,36,56,0.001,92.95,2.0,171.8,1267.0,tree_top,132.371428571,14.5,230.0,1267.0,tree_top,1.53333333333,1.5,2.0,5.0,tree_top,230.5,177.5,350.4,1267.0,tree_top
0.1,1,0.25,119,36,56,0.001,168.32,2.0,297.8,1761.0,tree_top,239.7,32.5,423.8,1761.0,tree_top,1.22580645161,1.0,1.0,10.0,tree_top,429.256410256,325.0,657.4,1761.0,tree_top
0.1,1,0.225,119,36,56,0.001,83.41,1.0,56.2,1372.0,tree_top,118.757142857,1.0,140.8,1372.0,tree_top,0.727272727273,1.0,1.0,2.0,tree_top,224.027027027,58.0,365.2,1372.0,tree_top
0.1,1,0.2,119,36,56,0.001,25.29,2.0,30.4,246.0,tree_top,35.5,2.0,67.0,246.0,tree_top,1.28205128205,1.0,2.0,5.0,tree_top,78.5483870968,50.0,135.0,246.0,tree_top
0.1,1,0.3,119,36,56,0.001,77.64,2.0,104.2,936.0,tree_top,110.528571429,5.0,150.8,936.0,tree_top,1.66666666667,1.0,3.0,5.0,tree_top,192.175,106.0,345.6,936.0,tree_top
0.1,1,0.275,119,36,56,0.001,68.53,2.0,45.4,867.0,tree_top,97.3857142857,2.5,203.2,867.0,tree_top,1.6,1.0,2.0,5.0,tree_top,193.171428571,81.0,305.2,867.0,tree_top
0.1,1,0.25,119,36,56,0.001,17.44,2.0,22.4,205.0,tree_top,24.4857142857,2.5,38.2,205.0,tree_top,1.3125,1.0,2.0,4.0,tree_top,44.0,26.0,75.6,205.0,tree_bot
0.1,1,0.225,119,36,56,0.001,130.31,3.0,135.0,1850.0,tree_top,185.628571429,6.0,273.6,1850.0,tree_top,1.92592592593,1.0,3.0,5.0,tree_top,300.976744186,129.0,458.8,1850.0,tree_top
0.1,1,0.2,119,36,56,0.001,125.94,2.0,112.8,1715.0,tree_top,179.414285714,3.0,268.2,1715.0,tree_top,1.71794871795,2.0,2.0,4.0,tree_top,402.967741935,246.0,625.0,1715.0,tree_top
0.1,1,0.3,119,36,56,0.001,31.82,1.0,13.8,497.0,tree_top,45.1714285714,2.0,51.4,497.0,tree_top,1.35897435897,1.0,2.0,4.0,tree_top,100.290322581,47.0,152.0,497.0,tree_top
0.1,1,0.275,119,36,56,0.001,144.88,2.0,190.4,1700.0,tree_top,206.514285714,8.5,493.0,1700.0,tree_top,1.38235294118,1.0,2.0,5.0,tree_top,400.25,199.0,808.0,1700.0,tree_top
0.1,1,0.25,119,36,56,0.001,80.9,2.0,79.4,1069.0,tree_top,115.157142857,2.5,155.0,1069.0,tree_top,0.84375,0.0,1.8,5.0,tree_top,211.421052632,95.0,363.4,1069.0,tree_top
0.1,1,0.225,119,36,56,0.001,68.14,1.0,31.4,1810.0,tree_top,96.9142857143,2.5,105.4,1810.0,tree_top,1.625,1.0,2.0,6.0,off_top,177.157894737,34.0,324.4,1810.0,tree_top
0.1,1,0.2,119,36,56,0.001,68.59,1.0,77.8,1046.0,tree_top,97.5714285714,2.0,144.2,1046.0,tree_top,1.21052631579,1.0,2.0,4.0,tree_top,212.0,140.5,334.2,1046.0,tree_bot
0.1,1,0.3,119,36,56,0.001,66.48,1.0,33.8,964.0,tree_top,94.6142857143,3.0,138.4,964.0,tree_top,1.26470588235,1.0,2.0,6.0,tree_top,182.777777778,58.5,319.0,964.0,tree_top
0.1,1,0.275,119,36,56,0.001,132.34,3.0,191.8,1326.0,tree_top,188.642857143,35.5,276.0,1326.0,tree_top,1.63636363636,1.0,3.0,4.0,tree_top,274.354166667,133.5,449.8,1326.0,tree_top
0.1,1,0.25,119,36,56,0.001,98.05,1.0,68.4,1334.0,tree_top,139.628571429,2.0,302.6,1334.0,tree_top,1.41666666667,1.0,2.0,5.0,tree_top,285.970588235,219.5,504.2,1334.0,tree_top
0.1,1,0.225,119,36,56,0.001,80.86,2.0,31.4,1539.0,tree_top,114.885714286,4.0,101.0,1539.0,tree_top,1.80555555556,2.0,2.0,5.0,tree_top,234.617647059,68.0,374.8,1539.0,tree_top
0.1,1,0.2,119,36,56,0.001,113.08,3.0,223.6,1075.0,tree_top,160.871428571,29.0,329.2,1075.0,tree_top,1.36666666667,1.0,3.0,5.0,tree_top,280.5,224.5,425.6,1075.0,tree_top
0.1,1,0.3,119,36,56,0.001,76.5,2.0,21.0,972.0,tree_top,108.857142857,3.0,85.8,972.0,tree_top,1.63157894737,1.0,2.6,4.0,tree_top,236.1875,56.0,450.6,972.0,tree_bot
0.1,1,0.275,119,36,56,0.001,34.67,2.0,7.4,548.0,tree_top,49.0857142857,2.0,58.8,548.0,tree_top,1.48717948718,1.0,2.0,6.0,tree_top,108.967741935,52.0,230.0,548.0,tree_top
0.1,1,0.25,119,36,56,0.001,67.61,2.0,91.8,938.0,tree_top,94.7142857143,3.0,169.0,938.0,tree_top,1.25641025641,1.0,2.0,5.0,tree_top,212.290322581,149.0,271.0,938.0,tree_top
0.1,1,0.225,119,36,56,0.001,77.6,1.0,23.8,1644.0,tree_top,110.5,2.0,132.4,1644.0,tree_top,1.54761904762,1.0,2.0,7.0,tree_top,273.928571429,137.5,348.6,1644.0,tree_top
0.1,1,0.2,119,36,56,0.001,53.29,1.0,104.4,607.0,tree_top,75.5857142857,1.5,158.4,607.0,tree_top,0.931818181818,1.0,1.4,3.0,tree_top,201.923076923,163.0,357.0,607.0,tree_top
0.1,1,0.3,119,36,56,0.001,80.82,1.0,41.6,1438.0,tree_top,115.128571429,2.0,141.6,1438.0,tree_top,1.15789473684,1.0,2.0,5.0,tree_top,250.46875,102.5,446.4,1438.0,tree_top
0.1,1,0.275,119,36,56,0.001,38.56,2.0,66.0,378.0,tree_top,54.7142857143,8.5,89.0,378.0,tree_top,1.18181818182,1.0,2.0,5.0,tree_top,102.459459459,69.0,170.2,378.0,tree_top
0.1,1,0.25,119,36,56,0.001,62.59,2.0,60.4,1115.0,tree_top,88.8714285714,3.5,143.6,1115.0,tree_top,1.77142857143,1.0,2.0,8.0,tree_top,175.971428571,64.0,275.8,1115.0,tree_bot
0.1,1,0.225,119,36,56,0.001,53.36,2.0,41.0,784.0,tree_top,75.6,3.0,100.6,784.0,tree_top,1.93939393939,1.0,2.6,6.0,tree_top,141.297297297,42.0,246.4,784.0,tree_top
0.1,1,0.2,119,36,56,0.001,59.04,2.0,93.0,581.0,tree_top,83.7428571429,3.0,168.6,581.0,tree_top,1.63414634146,1.0,2.0,4.0,tree_top,199.827586207,168.0,316.0,581.0,tree_top
0.1,1,0.3,119,36,56,0.001,66.16,2.0,74.8,942.0,tree_top,94.0714285714,5.0,154.8,942.0,tree_top,2.25,2.0,4.0,9.0,tree_top,171.394736842,97.5,322.0,942.0,tree_bot
0.1,1,0.275,119,36,56,0.001,34.81,2.0,53.0,346.0,tree_top,49.1857142857,4.0,101.2,346.0,tree_top,1.25806451613,1.0,2.0,4.0,tree_top,87.2820512821,69.0,143.0,346.0,tree_bot
0.1,1,0.25,119,36,56,0.001,39.14,1.0,9.2,579.0,tree_top,55.4857142857,2.0,52.2,579.0,tree_top,1.36842105263,1.0,2.0,8.0,tree_top,119.75,28.5,222.8,579.0,tree_bot
0.1,1,0.225,119,36,56,0.001,107.64,2.0,46.6,1165.0,tree_top,153.371428571,2.0,257.0,1165.0,tree_top,1.66666666667,1.5,2.0,4.0,tree_top,314.0,116.0,674.6,1165.0,tree_top
0.1,1,0.2,119,36,56,0.001,102.31,2.0,129.6,1773.0,tree_top,145.642857143,3.0,222.6,1773.0,tree_top,1.78787878788,2.0,2.6,4.0,tree_top,273.945945946,154.0,423.4,1773.0,tree_top
